ID_REF,GSM6826,GSM6829,GSM6830,GSM6831
D38555_at,1255.0,20.0,24.0,20.0
D38583_at,1206.0,20.0,20.0,20.0
D38751_at,20.0,20.0,20.0,20.0
D42038_at,20.0,20.0,20.0,20.0
D42039_at,558.0,1085.0,20.0,20.0
D42040_s_at,287.0,20.0,5353.0,2898.0
D42041_at,3565.0,2789.0,4393.0,3481.0
D42043_at,3817.0,4632.0,4767.0,2618.0
D42044_at,560.0,20.0,86.0,69.0
D42045_at,20.0,20.0,20.0,20.0
D42046_at,2293.0,3766.0,5633.0,3805.0
D42047_at,2623.0,1628.0,4367.0,2311.0
D42053_at,20.0,20.0,20.0,490.0
D42054_at,20.0,20.0,75.0,20.0
D42055_at,321.0,20.0,20.0,20.0
D42063_at,674.0,582.0,912.0,621.0
D42072_at,20.0,20.0,306.0,80.0
D42073_at,754.0,825.0,510.0,20.0
D42084_at,867.0,2101.0,586.0,816.0
D42085_at,3627.0,6119.0,1020.0,741.0
D42087_at,684.0,1851.0,1274.0,1247.0
D42108_at,860.0,1121.0,1782.0,990.0
D42123_at,8905.0,15641.0,11948.0,8642.0
D42138_at,270.0,793.0,813.0,20.0
D43636_at,634.0,20.0,673.0,278.0
D43638_at,893.0,1585.0,1474.0,367.0
D43642_at,12089.0,17944.0,13608.0,8571.0
D43682_s_at,12270.0,8365.0,16489.0,12040.0
D43767_at,3742.0,8251.0,1330.0,20.0
D43768_at,20.0,20.0,20.0,1.0
D43772_at,20.0,1785.0,20.0,2491.0
D43947_at,20.0,20.0,20.0,255.0
D43948_at,2731.0,2962.0,1045.0,2125.0
D43949_at,2412.0,3194.0,3909.0,4935.0
D43950_at,1516.0,59.0,20.0,20.0
D43951_at,2434.0,2476.0,3013.0,2421.0
D43968_at,1458.0,3581.0,1014.0,20.0
D44466_at,2139.0,1935.0,1788.0,5873.0
D45132_at,650.0,1053.0,831.0,599.0
D45248_at,5616.0,2243.0,1101.0,1641.0
D45370_at,6544.0,8976.0,11114.0,3570.0
D45371_at,6573.0,9879.0,11997.0,6328.0
D45399_at,547.0,1053.0,3487.0,666.0
D45906_at,4516.0,1165.0,1303.0,2664.0
D45917_s_at,264.0,24.0,1117.0,721.0
D49354_s_at,393.0,20.0,427.0,617.0
D49357_at,20.0,20.0,20.0,20.0
D49372_s_at,568.0,728.0,1313.0,2.0
D49387_at,224.0,20.0,602.0,613.0
D49394_at,20.0,435.0,339.0,20.0
D49396_at,414.0,20.0,362.0,1038.0
D49400_at,7199.0,3553.0,12075.0,10299.0
D49410_at,2689.0,6956.0,4180.0,1174.0
D49487_s_at,567.0,3014.0,2957.0,1895.0
D49488_at,150.0,1041.0,991.0,817.0
D49489_at,1390.0,1641.0,2663.0,2549.0
D49490_at,20.0,429.0,2343.0,1388.0
D49493_at,20.0,20.0,20.0,20.0
D49677_at,20.0,20.0,20.0,20.0
D49728_at,906.0,20.0,1238.0,584.0
D49738_at,22785.0,6171.0,25823.0,18934.0
D49742_at,20.0,20.0,20.0,20.0
D49817_at,872.0,3674.0,2263.0,1439.0
D49818_at,20.0,1008.0,262.0,20.0
D49824_at,20.0,20.0,20.0,20.0
D49824_s_at,19305.0,4765.0,28277.0,17293.0
D49950_at,960.0,1155.0,1774.0,445.0
D49958_at,3473.0,4064.0,3605.0,3426.0
D50063_at,7039.0,7235.0,4106.0,5537.0
D50310_at,15190.0,8464.0,30140.0,24148.0
D50312_at,20.0,20.0,20.0,20.0
D50370_at,2336.0,1255.0,1243.0,3871.0
D50402_at,20.0,69.0,20.0,20.0
D50405_at,1892.0,1461.0,1076.0,853.0
D50477_s_at,556.0,1186.0,223.0,384.0
D50487_at,180.0,20.0,194.0,20.0
D50495_at,2257.0,2197.0,20.0,3554.0
D50525_at,246.0,20.0,1450.0,1011.0
D50532_at,20.0,165.0,20.0,20.0
D50550_at,20.0,20.0,20.0,20.0
D50582_at,84.0,20.0,387.0,20.0
D50640_at,416.0,586.0,52.0,20.0
D50645_at,345.0,262.0,903.0,1060.0
D50663_at,4329.0,2714.0,4130.0,3019.0
D50678_at,20.0,20.0,20.0,20.0
D50683_at,1075.0,20.0,2201.0,617.0
D50692_at,20.0,20.0,383.0,20.0
D50810_at,802.0,1619.0,20.0,20.0
D50840_at,1406.0,1765.0,2087.0,2330.0
D50855_s_at,179.0,1562.0,712.0,375.0
D50857_at,1708.0,1303.0,3888.0,3142.0
D50863_at,2787.0,3870.0,3362.0,642.0
D50911_at,4194.0,6762.0,4523.0,2928.0
D50912_at,1575.0,151.0,2121.0,782.0
D50913_at,1766.0,6308.0,20.0,20.0
D50914_at,20.0,20.0,20.0,942.0
D50915_at,600.0,20.0,20.0,20.0
D50916_at,257.0,1100.0,1552.0,1560.0
D50917_at,1073.0,680.0,517.0,1067.0
